Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
612,expand tabs in example block,0.53228796,Add support for size_limit for empty_dir block (#912),Fix modules for Go version 1.13,0
613,GKE Update Credentials (#1776),0.54935586,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,"  Modules listed with +incompatible must not contain a go.mod.   Modules with versions other than v0 or v1 must have import paths    that specify the version. (Such as github.com/modulename/v2).   https://golang.org/doc/go1.13#version-validation Given these two requirements, we needed to update the go.mod file in this repo to include the pseudo-versions of modules (ie, v0.0.0-20190620085101-78d2af792bab instead of v12.0.0+incompatible). The specified versions still point to the same commit in their respective git repos.",0
614,docs: Remove note about provider being new,0.6577121,Improve docs for configuring the provider (#1132),Add support for metrics field in horizontal_pod_autoscaler,0
615,Fix crash when env is empty,0.8192685,Fix crash when container env block is empty,,1
616,Minor update to note language,0.5757532,"Update documentation and correct some errors (#1706, #1708)",,0
617,switch target_port to string,0.47499266,Attribute backend.service.port.name in kubernetes_ingress_v1 should be type String  (#1541),Add ttlSecondsAfterFinished to kubernetes_job and kubernetes_cron_job,0
618,Update issue-opened.yml,0.6037558,Fix an issue when the imported kubernetes_manifest resource is replaced instead of getting updated (#1712),,0
619,Delete issues.yml (#875),0.5914531,resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
620,v1.0.1,0.6170182,"2.6.0 (October 19, 2021)",,0
621,Update CHANGELOG.md for 1.9.0 release,0.79943085,Generating changelog for release-v2.19.0 from v2.18.1...,,1
622,Merge pull request #328 from chanzuckerberg/affinity,0.4693416,Update Pull Request Lifecycle docs (#1032),,0
623,Fix job deletion fail ttl (#1825),0.65077823,* Fix delete/recreate of Jobs when updating mutable fields (#1074),  Lazy client initialization and client accessor functions   Don't fail ConfigureFunc on invalid configuration. Print warnings about future failures.   Fix credentials validation for acceptance tests.   Propagate client setup errors   Document credential interpolation issues ,0
624,Fix docs formatting for kubernetes_secret (#1434),0.9999999,Fix docs formatting for kubernetes_secret (#1434),,1
625,Fix EKS acceptance tests (#1678),0.7811779,Add GitHub action for EKS acceptance tests (#1656),This fixes a code block that is not rendered correctly on the Kubernetes provider getting started page.,1
626,Fix tests formating (#1886),0.5748298,Documentation fixes,,0
627,kubernetes_cron_job should not force new (#1212),0.81469023,* Fix kubernetes_cron_job ForceNew when modifying job_template (#1212),,1
628,v1.13.0,0.7294345,"2.6.0 (October 19, 2021)",,1
629,CronJob: StartingDeadlineSeconds + SuccessfulJobHistoryLimit config values not honoured.,0.6928493,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),  add mount_options argument to kubernetes_persistent_volume   add simple kubernetes_persistent_volume mount_options test   Wait-retry for PVC deletion   Add documentation for 'mount_options' on PV   Fix PV test for 'mount_options'   Co-authored-by: Alex Somesan alex.somesan@gmail.com,0
630,configure timeouts for create and delete,0.6819228,resource/kubernetes_ingress_v1: add create and delete timeouts [GH-1936], CW Supporting mount_options for storageclass CW Supporting documentation for storageclass/mount_options Update kubernetes/resource_kubernetes_storage_class.go,0
631,Merge pull request #152 from appilon/87-k8s-secret-fix-validation,0.59740865,  - kubernetes_validating_webhook_configuration_v1,,0
632,Fix link to secrets design proposal,0.5411829,  - kubernetes_secret," Revert ""Support in-cluster configuration with service accounts (#497)""  This reverts commit e8360394f5d414f7eaf029de3ebed4bd8261249d.   Fix in-cluster config   Fix in-cluster config   Add in-cluster and cross cluster examples   Update in-cluster example   Fix passing bare IP addresses in provider's host field   Fix in-cluster and cross-cluster examples when not using custom builds   Replicate what defaultServerUrlFor() does with config but for overrides to support both HTTP and HTTPS when a bare IP address is passed into the host provider field   Log when selecting to load the client config from file   Co-authored-by: Alex Somesan alex.somesan@gmail.com",0
633,r/service: Make port optional field,0.6520219,r/kubernetes_service: make spec.port block optional [GH-1856],,0
634,r/pod: Fix a crash caused by wrong field name,0.51448244,* Fix error returned by Create CSR (#1206),,0
635,v1.6.2,0.7163163,"2.6.1 (October 22, 2021)","Importing service accounts isn't always working on EKS clusters, which sometimes see secrets created more than one second after the service account, as reported in https://github.com/terraform-providers/terraform-provider-kubernetes/pull/377#issuecomment-540126765 and https://github.com/terraform-providers/terraform-provider-kubernetes/issues/268#issuecomment-578469711  With some fields removed for clarity: {   ""kind"": ""ServiceAccount"",   ""metadata"": {    ""name"": ""coredns"",    ""uid"": ""e2885307-37d7-11ea-9db3-1211528e452b"",    ""resourceVersion"": ""201"",    ""creationTimestamp"": ""2020-01-15T20:44:54Z"",   },   ""secrets"": [ { ""name"": ""coredns-token-8tdpj"" } ]  }  {   ""kind"": ""Secret"",   ""metadata"": {    ""name"": ""coredns-token-8tdpj"",    ""resourceVersion"": ""196"",    ""creationTimestamp"": ""2020-01-15T20:44:56Z"",    ""annotations"": {     ""kubernetes.io/service-account.name"": ""coredns"",     ""kubernetes.io/service-account.uid"": ""e2885307-37d7-11ea-9db3-1211528e452b""    }   },   ""type"": ""kubernetes.io/service-account-token""                                                                                } It's not clear what could be causing this. In our case, the cluster was brand new at the time the account was created, as can be seen in the relatively low resourceVersions. Maybe it's load, maybe it's clock drift between API servers (where creationTimestamp is injected, AFAIK). No matter the cause, this is a real problem and it's stopping imports. This is the simplest fix. A more comprehensive one could also double check that the annotations for SA name and the UID on the secret match with the account's. If more than one secret matches all criteria, perhaps the oldest one could be picked. But that's all better addressed separately.",1
636,kubernetes: Add GKE config as test infrastructure,0.7313843,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,without these the provider will keep trying loading irrelevant local file,1
637,Add scheduler_name attribute with docs and test (#2026),0.568589,resource/resource_kubernetes_cron_job_v1: Add a new attribute spec.timezone. [GH-1971],"  Add startupProbe to container spec   Update docs for daemonset, pod, deployment to include startup_probe   Add test helper function for skipping cluster versions   Add acceptance test for startup_probe   Update docs with feature gate link   Remove superfluous import alias   Fix daemonset docs   Fix whitespace in pod test ",0
638,Fix watiForDeploymentReplicasFunc not waiting for rollout to finish (#1405),0.5997336,Refactor client config initialization and fix in-cluster config (#679) (#497),,0
639,Add StateUpgrader for LoadBalancerIngress (#1098),0.6058917,* docs/stateful_set: add import section (#1287),,0
640,Add immutable field to kubernetes_secret (#1280),0.9999999,Add immutable field to kubernetes_secret (#1280), Go v1.13 module compatibility fixes  This commit uses a replace directive to correct an invalid pseudo-version in a transitive dependency on github.com/Azure/go-autorest. It also corrects an invalid pseudo-version in github.com/keybase/go-crypto.  Switch TravisCI build environment to Go 1.13.x  Co-authored-by: Alex Somesan alex.somesan@gmail.com,1
641,Remove Computed boolean value from volume (#2006),0.5168575,Recreate Storage Class on VolumeBindingMode update (#757),,0
642,Remove usage of go-spew,0.4079098,resource/kubernetes_network_policy_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999], Add test showcasing bug in role binding patch Fix kubernetes_cluster_role_binding and kubernetes_role_binding updates when there are removals Add test cases to reproduce bug on Cluster Role updates in presence of removals Fix kubernetes_cluster_role updates when there are rule removals Add test cases to reproduce bug on Cluster Role Reference updates Fix bug on Cluster Role Reference updates doing nothing (requires binding replacement),0
643,Update nginx image version and liveness probe target in examples (#1611),0.4508587,Upgrade terraform-plugin-mux to v0.6.0 (#1686),,0
644,Revendor after plugin-sdk bump,0.6796633,Bump provider SDK to v1.7.0,See: - https://github.com/terraform-providers/terraform-provider-google/blob/master/README.md#terraform-provider-for-google-cloud-platform - https://github.com/terraform-providers/terraform-provider-helm/blob/master/README.md#terraform-provider-for-helm - https://github.com/terraform-providers/terraform-provider-azurerm/blob/master/README.md#terraform-provider-for-azure-resource-manager,0
645,Default automount_service_account_token to false for Pods.,0.7958353,* Fix perpetual diff when using Pod resource with automount_service_account_token=true (#1085),,1
646,Add support of client-go credential plugins in auth (#396),0.6779058,Add validations to validating_webhook_configuration (#1279),,0
647,pass proper terraform version along to UA header,0.612983,* Update Terraform SDK to v2 (#1027) ,,0
648,Update module hashicorp/terraform to v0.12.3,0.75244296,* Update Terraform SDK to v2 (#1027) ,,1
649,[DOC] bugfix node_selector_term (singular) (#433),0.538607,Fix documentation example for field_manager block (#1410),,0
650,Update Go version for build system (#1190),0.7129315,Update all go modules (#1240), Add support for PodDisruptionBudget,1
651,Fix bool pointers conversions,0.5488954,Fix crash when deferencing nil pointer in v1beta1.IngressRule (#967),,0
652,fix waiter crash when status not present (#1871),0.5852057,Fix an issue when provider crashes intermittently in version v2.12.0 (#1762),,0
653,Manifest: update logging setup in acceptance tests (#1600),0.6651027,Update acceptance tests for tfproviderlint (#887),,0
654,Remove default token volume and volume_mount from Pod state (#1096),0.65801525,Resource kubernetes_deployment: allow removing volume mount (#1246),"Mount propagation allows for sharing volumes mounted by a Container to other Containers in the same Pod, or even to other Pods on the same node. See [1] MountPropagation has been GA since K8s 1.14. [1] https://kubernetes.io/docs/concepts/storage/volumes/#mount-propagation",0
655,Merge pull request #137 from terraform-providers/t-kops-dns-check,0.59116614,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
656,Add Azure Managed disk to PV resource (#1011),0.9799169,Add Azure Managed disk to PV resource (#202),"https://github.com/terraform-providers/terraform-provider-kubernetes/pull/367/files Added this support, currently it appears that the property name is host_aliases and not host_alias",1
657,provider/kubernetes: Ignore k8s internal labels,0.6548873,* Add kube_config_paths to provider block (#1052),,0
658,Cleanup after v1.8.0 release,0.5074891,"2.6.0 (October 19, 2021)",  Update k8s.io/kube-aggregator commit hash to aa872b0   go mod tidy   Re-vendor modules ,0
659,Remove default and make 'external_traffic_policy' computed.,0.61375046,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),  go mod tidy   Re-vendor modules   Adapt client package imports and usage for client-go v12 ,0
660,Data source for K8s storage class,0.6520707,  - kubernetes_storage_class,"This adds support for this field in PodSpec, part of Deployments, StatefulSets, CronJobs and anything else that embeds a PodSpec. The PriorityClass resource was added in #495. Fixes #506.",0
661,Adapt Ingress to use managed internal annotations.,0.55087316,* Add missing annotations (#1289),,0
662,deps: terraform-provider-google@v2.17.0+incompatible,0.6700157,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
663,Replace EKS test-infra with code from example (#1192),0.6198945,Update EKS example to use two applies (#1260),provider: Migrate to standalone plugin SDK v1.1.1,0
664,Merge pull request #614 from terraform-providers/appilon/remove-config-pkg,0.6434063,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
665,Mark 'volume_mount' and 'volume' as Computed in Pod spec and Pod template spec.,0.7049959,Add projected volumes in pod_spec (#907),,1
666,Update module hashicorp/terraform to v0.12.2,0.7504474,* Update Terraform SDK to v2 (#1027) ,,1
667,fix: affinity namespaces missing in flttener,0.6011139,Fix annotation diffs on affinity tests (#993),,0
668,Fix Deployment attributes expansion (#191),0.55954105,new attribute: Add immutable attribute to resource_config_map [GH-1849],,0
669,tests: Skip GCloud tests if no ENV vars provided,0.5295651,"Tolerate unknown values in ""env"" and ""exec"" provider attributes",,0
670,provider/kubernetes: Add support for persistent_volume,0.70813787,  - kubernetes_persistent_volume_claim,"Prior to this commit, the provider supports authenticating through a local kubeconfig or through various configuration provided directly to the provider or from the environment. The provider however, did not authenticate using a service account when running inside a Kubernetes pod. This commit provides support for loading in-cluster configuration so that the provider can be used inside a Kubernetes pod (with a service account) without much additional configuration. The use-case for this is running Terraform via Atlantis inside a Kubernetes pod. But, outside of Atlantis, there may be cases where we want to run some Terraform automation inside a pod (e.g. GitLab runner).",1
671,Add examples,0.52156806,ENHANCEMENT:,,0
672,Update README.md TF logo location,0.49840388,Update acceptance tests for tfproviderlint (#887),,0
673,Merge pull request #19 from terraform-providers/b-config-map-vol-crash-fix,0.6237365,Update terraform-plugin-go and terraform-plugin-sdk (#1551),This is also the default behavior from kubectl.,0
674,vendor: github.com/terraform-providers/terraform-provider-aws,0.5620189,@Dudesons made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1805,,0
675,r/kubernetes_service: Fix failing test,0.6805613,  - kubernetes_validating_webhook_configuration_v1,,0
676,Update GitHub workflows to use pinned commit hash versions (#1961),0.5396208,Docs - updated all broken and commit-specific Kubernetes links to point to master branch (PR #626),  Updated Kubernetes links   Updated all broken and specific commit links to point to master branch ,0
677,v1.5.1,0.54910094,"2.8.0 (February 09, 2022)",,0
678,Update EKS example to use two applies (#1260),1.0,Update EKS example to use two applies (#1260),,1
679,Normalize automount_service_account_token to be in line with the K8s API (#1054),0.99713314,* Normalize automount_service_account_token to be in line with the K8s API (#1054),,1
680,Update FAQ.md (#867),0.61836827,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)",,0
681,Fix tests broken by API version update,0.6200174,Fix service test leaking ELBs (#947),"  Add acceptance tests case to demonstrate why kubernetes_endpoints' port should be a set and not a list   Convert endpoints' subset port from list to set as the order they are submitted to the API is not preserved. Use github.com/google/go-cmp instead of reflect.DeepEqual, as the latter always returns false for values containing non-nil function values which is the case with schema.Set.   Convert endpoints' subset address and not_ready_address from list to set as the order they are submitted to the API is not preserved.   Convert endpoints' subset from list to set as the order they are submitted to the API is not preserved.   Move endpoints schema and hash functions to schema_endpoints.go ",0
682,Merge pull request #83 from pdecat/fix-volume-configmap-items-mode,0.5599368,Refactor client config initialization and fix in-cluster config (#679) (#497),,0
683,Update job documentation (#1042),0.7999811,Fix job documentation, Add PriorityClass resource Add PriorityClass tests Add PriorityClass documentation,1
684,Add support for binary_data to kubernetes_config_map (#400),0.73571086,Datasource: kubernetes_secret: add binary_data attribute (#1285),pass proper terraform version along to UA header,1
685,Update github.com/terraform-providers/terraform-provider-kubernetes to use k8s/client-go 1.9.0,0.76776963,Update k8s.io/client-go to v12,,1
686,Merge pull request #809 from terraform-providers/aareet_update_issue_templates,0.67491037,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Remove use of config pkg,0
687,Add Issue Template,0.6211755,resource/kubernetes_annotations: Add a new attribute template_annotations that allows adding annotations to resources with pod templates. [GH-1972],update terraform to v0.12.8,0
688,Update 'service(_v1)' resource documentation (#1856),0.61295867,Update Pull Request Lifecycle docs (#1032),,0
689,Set GKE test tf wrapper to false (#1778),0.58618677,Update acceptance tests for tfproviderlint (#887),,0
690,Cleanup after v1.11.3 release,0.51622,"2.6.0 (October 19, 2021)",,0
691,Merge pull request #620 from terraform-providers/appilon/pass-proper-terraform-version,0.64938253,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
692,Merge pull request #443 from dylannz-sailthru/max-unavailable,0.5114405,resource/kubernetes_network_policy_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],This PR is based on the initial work done in PR #427,0
693,Update CHANGELOG for v2.7.0 (#1514),0.8211341,Generating changelog for release-v2.19.0 from v2.18.1...,The link seems to be outdated,1
694,Update GKE infra code to support aplha features. (#1645),0.6057128,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,  Add aggregator.Clientset needed for APIService resource   Implement kubernetes_api_service with acceptance test   Add support for local API service   Document kubernetes_api_service   go get k8s.io/kube-aggregator/pkg/client/clientset_generated/clientset@kubernetes-1.13.6 k8s.io/apimachinery...@kubernetes-1.13.6 k8s.io/api...@kubernetes-1.13.6   go mod vendor   Fix doc link   Ensure ca_bundle is base64 encoded data   Update CronJob and Job implementations to use (*KubeClientsets).MainClientset ,0
695,remove config pkg,0.5816661,* Remove default of ~/.kube/config for config_path (#1052),,0
696,Add support for initContainers in kubernetes_env resource (#2067),0.91188705,kubernetes/resource_kubernetes_env.go: add support for initContainers [GH-2067],,1
697,Remove references to 'kubernetes_alpha' provider from Service tests.,0.70155734,"Remove ""beta"" designation of the kubernetes_manifest from documentation",  401 configurable delete timeout for kubernetes_namespace resource   Updating formatting   Updating namespace doc for delete timeout   Adding Test for namespace delete timeout   Removing empty line at bottom of file ,1
698,Clarify Network Policy documentation (#669),0.7398186,* Docs: fix grammar in Network Policy (#1210),  Fix failing loadbalancer service tests   Add region and zone node_affinity terms to GKE volumes in PV tests ,1
699,Update changelog for #249 and #252 (#257),0.73504245,Generating changelog for release-v2.19.0 from v2.18.1...,,1
700,Add dockercfg example to Kubernetes secret (#14151),0.7004353,  - kubernetes_secret,Migrate GKE test infra to 0.12 Migrate EKS test infra to 0.12 Migrate AKS test infra to 0.12,1
701,Mention that the examples use TF 0.12 syntax.,0.44502193,Update acceptance tests for tfproviderlint (#887),,0
702,vendor: golang.org/x/oauth2/...@9a379c6b,0.4781425,@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915,,0
703,Fix failing unit test for parseImportID (#1426),0.5217443,* Fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinty (#1067),,0
704,Add StateUpgraders for resources field change (#1082),0.6531196,* Change resources requests and limits to TypeMap (#1065),,0
705,Update module hashicorp/terraform to v0.12.5 (#558),0.7309575,* Update Terraform SDK to v2 (#1027) ,,1
706,Bump Terraform SDK to RC1 (#440),0.7045763,* Update Terraform SDK to v2 (#1027) ,  Align validation of metadata.0.name of Role and ClusterRole to Kubernetes validation   Update vendoring ,1
707,Better error messages from OpenAPI schema transformations (#1780),0.8748207,r/kubernetes_manifest: Better error messages from OpenAPI schema transformations (#1780),,1
708,Add a new resource kubernetes_horizontal_pod_autoscaler_v2 (#1674),1.0000002,Add a new resource kubernetes_horizontal_pod_autoscaler_v2 (#1674),,1
709,Release v2.16.0 (#1904),0.6517606,"2.6.0 (October 19, 2021)", Add missing expander for pod_spec.container.working_dir Add test for 'working_dir' attribute in container blocks.,0
710,Revert .travis.yml back to master,0.44291008,Docs - updated all broken and commit-specific Kubernetes links to point to master branch (PR #626),Tolerations,0
711,Cleanup after v1.0.0 release,0.5260576,Generating changelog for release-v2.19.0 from v2.18.1...,fix: check isUpdatable for ForceNew when considering deployment updates,0
712,Add acc tests,0.5680369,Fix annotation diffs on affinity tests (#993),Allow non-negative replicas in 'kubernetes_stateful_set'.,0
713,Credentials changes for v2.0.0 (#1052),0.5817727,Add validations to service (#1273),,0
714,Merge pull request #128 from terraform-providers/vendor-hc-tf,0.56066704,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
715,Update target project,0.5339271,IMPROVEMENTS:,,0
716,Add expansion logic for 'working_dir' attribute (#539),0.53326637,Add support for size_limit for empty_dir block (#912),,0
717,tests: Skip GCP-dependent test if not on GCP,0.5324502,* Skip tests for CSIDriver if cluster version is less than 1.16,,0
718,Update GitHub release workflow (#1962),0.5830029,Generating changelog for release-v2.19.0 from v2.18.1...,add missing automount_service_account_token to the pod spec,0
719,Bump provider SDK to v1.7.0 (#777),0.9564542,Bump provider SDK to v1.7.0,,1
720,Go v1.13 module compatibility (#732),0.6750349,Update all go modules (#1240),,0
721,Update CHANGELOG.md (#404),0.70522314,Generating changelog for release-v2.19.0 from v2.18.1...,Fix style on expansion of 'automount_service_account_token'.,1
722,Mention newly created slack channel in README,0.39840895,* Docs: fix grammar in Network Policy (#1210),,0
723,Should return empty array if LabelSelector is not set.,0.46412545,Attribute ignore_labels of provider (#746),automountServiceAccountToken does not appear to a default value per  https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.11/#pod-v1-core https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.13/#pod-v1-core manual inspection of running pods on a k8s 1.11.5 cluster,0
724,provider/kubernetes: Add support for Horizontal Pod Autoscaler (#14763),0.7564075,Add a new resource kubernetes_horizontal_pod_autoscaler_v2 (#1674),,1
725,Add volume_binding_mode resource docs (#883),0.68760246,* Add support for setting the persistent volume claimRef (#1020),,0
726,Update 'kubernetes_job' and 'kubernetes_job_v1' docs with 'spec.completion_mode' (#1997),0.74458456,resource/kubernetes_job_v1: Add documentation for the attribute spec.completion_mode. [GH-1997],,1
727,Merge pull request #123 from terraform-providers/t-ignore-resource-version,0.5977986,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
728,fix test compilation errors,0.5851124,Update documentation and correct some errors (#1759),"This change propagates to the replication_controller, services and deployments. See https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.11/#pod-v1-core",0
729,Cleanup after v1.6.0 release,0.540674,"2.6.0 (October 19, 2021)",Remove default value of Job template's spec.backoff_limit,0
730,Add kubernetes_config_map_v1_data resource (#1671),0.86507416,Resource kubernetes_config_map_v1_data (#723),Update module hashicorp/terraform to v0.12.3,1
731,Fix HCL formatting in docs and tests (#1949),0.59146786,Documentation fixes,,0
732,Re-vendor after go mod tidy,0.46151572,Refactor client config initialization and fix in-cluster config (#679) (#497),Add Share Process Namespace option,0
733,v1.5.0,0.61935365,"2.6.0 (October 19, 2021)",,0
734,Add kubernetes_role_binding resource (#235),0.8185946,Add kubernetes_ingress_class resource (#1236),,1
735,v2.4.1,0.71594477,"2.8.0 (February 09, 2022)",Bump Go version in Travis to 1.12.x,1
736,add some positive int checks,0.44281575,Fix annotation diffs on affinity tests (#993),Add support for Job and CronJob (closes #86 and #212),0
737,Update CHANGELOG.md for v1.8.0,0.7929104,Generating changelog for release-v2.19.0 from v2.18.1...,,1
738,Tests: ServiceAccount subjects don't belong to the default RBAC API group.,0.52777207,  - kubernetes_api_service_v1,,0
739,Merge branch 'master' of /Users/jake/terraform,0.42012924,Docs - updated all broken and commit-specific Kubernetes links to point to master branch (PR #626),,0
740,Merge pull request #796 from dak1n1/version_validation,0.55427396,Update Pull Request Lifecycle docs (#1032),,0
741,Add docs,0.643409,* docs/stateful_set: add import section (#1287),,0
742,Use actual type of input value in morpher diagnostic. (#2054),0.56872654,[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic,Improve CronJob tests. Cron/Job spec template fixes.,0
743,Feature/add hostaliases (#367),0.6753553,Updated host_alias property name to host_aliases (PR #670),Co-Authored-By: Patrick Decat pdecat@gmail.com,0
744,Remove reference to non-existant TemplateRef argument (#1597),0.5795321,Attribute ignore_annotations of provider (#746),,0
745,update TF & EKS Cluster Versions (#1816),0.5267668,Update EKS example to use two applies (#1260),,0
746,Add kubernetes_role resource (#226),0.8101757,Add kubernetes_ingress_class resource (#1236),Previously updates were a NoOp.,1
747,v2.3.0,0.6627275,"2.6.0 (October 19, 2021)",,0
748,Mark attribute 'default_secret_name' as deprecated in the documentation (#1883),0.7191238,resource/kubernetes_service_account_v1: mark attribute default_secret_name as deprecated [GH-1883],,1
749,v2.0.3,0.7165089,"2.8.0 (February 09, 2022)",,1
750,vendor: google.golang.org/api/bigquery/v2/...@672d215,0.51467985,@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915,,0
751,Fix some long-failing acceptance tests (#566),0.6595916,Update acceptance tests for tfproviderlint (#887),,0
752,vendor: google.golang.org/api/container/v1@7afc123c,0.48440292,Attribute container_resource of resource kubernetes_horizontal_pod_autoscaler_v2beta2 (#1637),,0
753,Merge pull request #27 from terraform-providers/b-service-optional-port,0.55289066,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
754,Support priorityClassName in PodSpec. (#646),0.62488365,Add validations to container PodSpec (#1275),,0
755,Update actions/stale version (#1502),0.57971144,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)",,0
756,"key-value, comma-separated import ID + more verbose guidance during",0.65313274,Fix import ID syntax in manifest import docs,,0
757,Bump Go version in Travis to 1.12.x,0.6593691,Bump provider SDK to v1.7.0,,0
758,Add aliases for v1 resources (#1484),0.59498376,Make attribute http of resource kubernetes_ingress_v1 optional (#1613),,0
759,Migrate most GitHub HashiBot behaviors to GitHub Actions (#1288),0.4773788,"Add ""field_manager"" attribute to kubernetes_labels, kubernetes_annotations, kubernetes_config_map_v1_data [GH-1831]",,0
760,v0.1.2,0.6961107,"2.8.0 (February 09, 2022)",,0
761,test-infra: Add DNS check to kops,0.5590266,Add validations to service (#1273),Fix sometimes deployment is not waited,0
762,Fixing link in README,0.6478371,Enable links check and fix 2 links (#1259),,0
763,Merge pull request #491 from terraform-providers/renovate/github.com-hashicorp-terraform-0.x,0.65297264,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
764,Merge pull request #423 from pniederlag/patch-1,0.49767238,resource/kubernetes_network_policy_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
765,Update module hashicorp/vault to v1.1.2,0.6579851,Update all go modules (#1240),,0
766,tests: Add AWS EBS tests for PV + separate test for hostPath,0.5261082,Fix service test leaking ELBs (#947),,0
767,"Allow 'generate_name' on cluster role, cluster role binding, and role binding (#1899)",0.7623879,Fix api_group requirement in cluster_role_binding and role_binding (#1024),,1
768,Add kuberentes_manifest acceptance tests for Service (#1486),0.69762564,Add GitHub action for EKS acceptance tests (#1656),,0
769,Align names of environment varible for manifest experiment flag,0.4817284,Fix import ID syntax in manifest import docs,,0
770,restrict opertor to valid values,0.4953596,Match specific tolerations to prevent diffs (#978),Co-Authored-By: karlhungus ialpert@gmail.com,0
771,Migrate travis tests to actions (#1283),0.46624178,Update acceptance tests for tfproviderlint (#887),,0
772,acceptance test for new name validation,0.5591222,Update acceptance tests for tfproviderlint (#887),,0
773,Fix terraform version in EKS acceptance tests action,0.6485824,* Update Terraform SDK to v2 (#1027) ,,0
774,test-infra: Expose K8S version,0.6198919,Update k8s.io/client-go to v12,,0
775,vendor: Upgrade Google provider deps,0.51530963,Bump provider SDK to v1.7.0,,0
776,Always generate standard ObjectMeta for CRD types,0.95067483,Always generate standard ObjectMeta for CRD types (#1418),,1
777,Update config.yml,0.58787537,Generating changelog for release-v2.19.0 from v2.18.1...,,0
778,fix automount_service_account_token assignment; bool not *bool,0.74092805,Fix kubernetes_default_service_account doesn't set the automount_service_account_token to false (#1247),,1
779,update labeled_issues.yml (#1811),0.6091978,resource/kubernetes_node_taint: Fix an issue when updating taint does not update the ID in the state file. [GH-2077],,0
780,Merge pull request #73 from micahhausler/f-k8s-clusterrolebinding,0.5828264,Fix not handling multiple cluster_role_selectors of kubernetes_cluster_role(_v1) (#1360),,0
781,Fix reported replica count when waiting for Deployment rollout (#998),1.0000001,Fix reported replica count when waiting for Deployment rollout (#998),,1
782,Adapt package import paths for newer K8S client library,0.6457398,* Restructure service and ingress to match K8s API (#1071),,0
783,simplify test config,0.5003536,Update acceptance tests for tfproviderlint (#887),,0
784,Add release GitHub Action (#1615),0.6284855,Add GitHub action for EKS acceptance tests (#1656),,0
785,Replace heredoc with jsonencode in docs (#1327),0.5305818,Fix import ID syntax in manifest import docs,,0
786,r/persistent_volume - add support for CSI (#817),0.8007766,* Add support for CSI volume type in persistent_volume resource (#817),Adapt examples syntax to TF 0.12,1
787,Add support of token in auth,0.41771933,Add validations to validating_webhook_configuration (#1279),,0
788,Cleanup after v1.12.0 release,0.5320511,"2.6.0 (October 19, 2021)",Update module hashicorp/terraform to v0.12.2,0
789,Add test case revealing issue #115 when adding annotations to a resource that didn't have any,0.74104095,* Add missing annotations (#1289),,1
790,deps: terraform-provider-aws@v2.32.0+incompatible,0.6757137,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Adapt all documentation examples to terraform 0.12,0
791,.github/workflows: Fix waiting-response label removal (#1306),0.67856634,"Fix kubernetes_job ""No waiting"" documentation example (#1383)",,0
792,Pin down 'github.com/moby/term' dependency to Fix build for windows/386 (#1034),0.587378,Update kubernetes dependencies (#1574),,0
793,Support in-cluster configuration with service accounts (#497),0.9870435,Support in-cluster configuration with service accounts (PR #497),Test infra - autodetect K8s version on AKS,1
794,Merge pull request #138 from terraform-providers/t-reauth-kops,0.58291304,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Update module hashicorp/terraform to v0.12.1,0
795,Add default_service_account resource (#876),0.9553591,Add resource default_service_account (#876),,1
796,vendor: github.com/hashicorp/go-getter/...@a686900cb3753aa644dc4812be91ceaf9fdd3b98,0.56276274,@Dudesons made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1805,,0
