Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
4281,add logic to determine Deployment's LoadBalancer and target group for pre-existing listeners,0.6291442,bulitin/aws/ecs: Determine load balancer and target group for pre-existing listeners [GH-1085],,0
4282,Update documentation for Nomad plugin to indicate reading env var from runner config.,0.6771928,config: Specify configuration (env vars and files) for runners while executing,,0
4283,docs: Fix devdot links.,0.5484082,ui: Fix missing links to resources [GH-3172],,0
4284,internal/server: generate cookie on startup,0.45969248,core: Introduce RunTriggers to Waypoint Server and CLI. Triggers can be configured,,0
4285,Update internal/config/variables/variables.go,0.6100737,* Update Go build version to 1.16.12 per Go security release,,0
4286,Update mocks with Mirage upsertProject method and fix editing bug,0.55401194,ui: Fix leaky project repository settings being reused when creating a new project [GH-2250],ui: add git commit mock data to mirage,0
4287,Merge pull request #3854 from hashicorp/f-runner-profile-config-update,0.58053565,core: show helpful errors when using invalid runner profile plugin config [GH-3465],"This is piece of foundational work for further improvements to the CLI's UX. This is a separate PR from the bulk of that redesign, since this change affects a large number of files and could be distracting in PR review of the larger scope of work.",0
4288,Add git ref screenshot,0.6372044,ui: Add ability to configure a project's git settings from the browser UI [GH-1057],,0
4289,internal/server/singleprocess: readd trace logging and test for error case,0.60989434,core: improve runner job stream error logging [GH-3872],,0
4290,wait for bootstrap job to finish,0.42891866,will keep track of what part the jobs are at for better debugging and on-demand,,0
4291,internal/runner: use project name specified in job,0.67021894,"Projects and/or Apps can be configured to use a specific runner profile, identified by name.",,0
4292,ui: add external-link component,0.5247671,plugins/docker: Add support build context [GH-1490],,0
4293,Add flags to Nomad install for Consul token & host volume directory.,0.7614547,plugin/nomad: Add consul service optional flags [GH-2033],"Prior to this commit, the server install command would look for the very first instance for when an allocation was considered running. This is generally ok, however if the Nomad job fails to get started a moment later (like a static runner failing to connect back to Waypoint Server), the runner allocation would exit later but the server install command would consider the installation successful. This commit fixes that by doing a few retries on the scheduled allocation once its in a ""running"" state to ensure it properly started up beyond the first few moments of the job. Fixes #2683",1
4294,Merge pull request #3630 from hashicorp/maint/ignore-vscode-log-files,0.5097681,server: UpsertProject will not delete all application metadata [GH-1027],This commit introduces a simple function to wait for a Nomads evaluation to be running and DRYs up a few places in the install func where we use it.,0
4295,builtin/k8s: Add Ingress as a release,0.7559334,plugin/k8s: Add new ability to release by creating an ingress resource to route,,1
4296,Updated Readme.md file for beta,0.4450841,"0.3.0 (April 08, 2021)",  Handle both unauthenticated error messages   add error code check   Changelog ,0
4297,Merge pull request #1937 from hashicorp/bug/buildkitSession,0.5522828,plugin/docker: Fix docker buildkit build failures [GH-1937],"This is cheap-and-cheerful solution, and an example of where I think it’s worth cutting corners in Mirage. A full-fidelity solution would include modelling and simulating Job, which is one of the largest and most complex protobufs in the system, and therefore more work than is currently justified (in my opinion). As we push further into introspecting data about jobs, I’m pretty confident the situation the time to dive into simulating Job will clearly present itself. Closes #2680",0
4298,ui: added changelog,0.56827146,ui: Add label to “follow logs” button [GH-3732],,0
4299,security_groups to security_group_ids,0.6771209,plugin/aws/ecs: Add ability to specify security group IDs [GH-1919],,0
4300,(Commented out) adds for update stanza for Nomad platform.,0.6468837,plugin/nomad: Update Nomad platform to use SDK Resource Manager [GH-1941],,0
4301,Merge pull request #1633 from hashicorp/dependabot/npm_and_yarn/ui/y18n-3.2.2,0.49909016,ui: Fix crash when encountering resources without IDs [GH-3929],,0
4302,Clarify warning of attempt to delete resources on failed deployments.,0.6653819,cli: deployment destroy will now attempt to destroy any known resources for failed,,0
4303,Merge pull request #2799 from hashicorp/git-dirty-warn,0.5491514,core/api: include commit message in datasource/git response [GH-3457],,0
4304,Merge pull request #1475 from Tylerian/patch-2,0.45365834,plugin/docker: fix issue with remote operations for docker-pull builder [GH-3398],,0
4305,Merge pull request #1488 from hashicorp/feature/server/status-reports,0.5401486,ui: avoid loading all status reports [GH-2562],,0
4306,Fix #738 - Add awslog driver configuration,0.81481934,builtin/aws/ecs: Add awslog driver configuration [GH-1089],"support arm64 for the entrypoint, inject properly",1
4307,code updates to upgrade from mockery v1.x to v2.15.0,0.59476656,"0.2.0 (December 10, 2020)",,0
4308,skip babel for lib files,0.4610741,plugin/docker: remove intermediate containers on build [GH-667],This adds a linux/arm64 entrypoint asset to our Waypoint binary. This increases binary size by ~30% but I think this is worthwhile as more of the world's dev and deployment machines move to arm64. This makes it so that Docker entrypoint injection injects the entrypoint binary that matches the architecture and errors if it detects an unsupported architecture. This also adds detection for cloud native buildpacks to warn if the Docker daemon isn't x86_64 since Buildpacks currently have issues with arm64.,0
4309,Merge pull request #4486 from alrs/cli-err,0.5505028,cli: return error for ErrSentinel types to signal exit codes [GH-768],website: docs for labels,0
4310,Regenerate server proto.,0.5917769,Server snapshot/restore: you can now use the CLI or API to take and restore online,Co-authored-by: Clint catsby@users.noreply.github.com,0
4311,Merge pull request #999 from hashicorp/dependabot/npm_and_yarn/ui/socket.io-2.4.1,0.5011103,ui: Fix crash when encountering resources without IDs [GH-3929],Co-authored-by: Clint catsby@users.noreply.github.com,0
4312,internal/server: add interceptor to nil any any fields,0.4731919,cli: server run can now create a non-TLS HTTP listener. This listener,Co-authored-by: Clint catsby@users.noreply.github.com,0
4313,sdk: implement LogViewer over plugin API,0.5635855,plugin: Allow debugging of plugins with tools like delve [GH-1716],,0
4314,Moving some server packages outside internal,0.59464425,serverinstall/ecs: Improve server upgrade process by stopping task and reducing,website: document workspace/label scoping for app config,0
4315,auto-updated internal/server/gen/bindata_ui.go from commit cbb85c65,0.5661843,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Co-authored-by: Clint catsby@users.noreply.github.com,0
4316,internal/core: switch to new generation struct,0.5510441,core: configdynamic has been renamed to dynamic. The existing function,Co-authored-by: Clint catsby@users.noreply.github.com,0
4317,website: add roadmap,0.56812084,available to your Waypoint configuration. ,,0
4318,internal/server/state: AppOperation.LatestFilter,0.58751357,Status reports: server: Continuously generate a status report for an application after the initial,,0
4319,builtin/k8s: default releaser should mirror namespace settings,0.7477978,plugin/k8s: default releaser should create service with correct namespace [GH-759],,1
4320,Merge pull request #133 from hashicorp/f-server-config,0.53844756,existing server image is hashicorp/waypoint:latest [GH-3820],This implements the WorkspaceDestroy function for ecs.,0
4321,Update waypoint-plugin-sdk to latest,0.6267018,Status Reports: Waypoint now has multiple improvements to support status,,0
4322,Merge pull request #3940 from hashicorp/externalize-artifact-service,0.49411213,ui: Fix crash when encountering resources without IDs [GH-3929],,0
4323,Remove libraries since no longer building runc,0.6401862,cli/runnerinstall: Delete EFS file system during ECS runner uninstall. [GH-3944],,0
4324,Include metrics-server github repo URL,0.58829284,core: Automatically remotely init projects with a Git data source [GH-2145],,0
4325,cli: Split up Job Configuration from Job Results in inspect,0.7749015,cli: Introduce a new CLI command for job management and inspection,,1
4326,Adds Download Analytics (#440),0.5096578,plugin/google: Update Google Cloud platform to use SDK Resource Manager [GH-2005],,0
4327,Increase the height of the left intro terminal,0.5119087,ui: Logs & Exec Terminals resize smoothly [GH-2890],,0
4328,internal/cli: enable labels on other commands,0.61753035,cli: Internal-only labels on runners are hidden from CLI output for waypoint runner,,0
4329,ui/mirage: add stub GetLogStream handler,0.55051374,ui: Add label to “follow logs” button [GH-3732],- @hashicorp/react-select-input 4.0.4,0
4330,internal/server: QueueJob can expire a job,0.5512376,server: Prune old deployments and jobs from server memory. This limits the number,- @hashicorp/react-version-select@0.2.2 - @hashicorp/react-alert@6.0.1,0
4331,build(deps): bump lodash from 4.17.19 to 4.17.21 in /ui,0.56333697,"0.4.1 (July 1, 2021)",- sh npm uninstall @hashicorp/react-docs-page npm i @hashicorp/react-docs-page@canary npm ls @hashicorp/react-version-select,0
4332,docs: ECS health check configs.,0.60213137,"plugin/aws-ecs: Support for status reports, enabling waypoint status for ECS deployments [GH-2098]",,0
4333,builtin/aws/ecs: also clamp lbName,0.69967866,plugin/aws/alb: clamp alb name per aws limits [GH-1225],,0
4334,auto-updated internal/server/gen/bindata_ui.go from commit 8ee6621e,0.5826028,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
4335,Merge pull request #1252 from hashicorp/fix-ui-readme,0.5054962,ui: Fix crash when encountering resources without IDs [GH-3929],,0
4336,Add tests to ensure JobCreate only creates requested job number,0.5421431,server: Fix project poll job singleton id to only include application on project,,0
4337,add pipelines run list to proto,0.6493963,"core: Custom Pipelines as a Tech Preview gives users the ability to define custom pipelines to run various Waypoint actions such as a build, deploy, release, up and more for deploying applications. Waypoint will monitor and log each pipeline run, associated jobs, and show the results of executing that pipeline. [GH-3777]",,0
4338,Merge pull request #1668 from hashicorp/ui/refine-status-indicators,0.5478133,ui: avoid loading all status reports [GH-2562],,0
4339,Update flakes to pull in go 1.18,0.5514689,"0.4.1 (July 1, 2021)",,0
4340,Merge pull request #3052 from hashicorp/b-runner-health-timeout,0.48677677,plugin/k8s: Add ephemeral-storage resource limits to on-demand runners through runner profiles. [GH-3676],,0
4341,Sort imports,0.45960996,DEPRECATIONS:,,0
4342,"internal/server: Support reserved pipeline step ""deploy""",0.5937436,internal/server: Block on instance deployment becoming available [GH-881],,0
4343,website: update roadmap,0.51041764,existing server image is hashicorp/waypoint:latest [GH-3820],,0
4344,cli: Include full help flags for runner inspect command,0.872969,cli: Show full command flags when displaying help text for waypoint runner inspect. [GH-4435],Add CHANGELOG for release,1
4345,auto-updated pkg/server/gen/bindata_ui.go from commit 6711bd005,0.607267,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
4346,Fix build_arg entry for website partial,0.5670925,plugin/docker: Fix docker buildkit build failures [GH-1937],"Do not error on existing cluster roles, and clean up rbac on uninstall",0
4347,internal/serverinstall: only remove k8s resources that exist,0.77682567,"serverinstall/k8s: Clean up rbac resources on uninstall, and do not error when existing rbac resources are detected during server upgrade. [GH-2654]",,1
4348,maint: Update waypoint-plugin-sdk to get terminal auto-wrap updates,0.58503217,Status Reports: Waypoint now has multiple improvements to support status,,0
4349,maint: Ensure a response has PipelineRuns before formatting data,0.6425663,pipelines: Properly mark a pipeline run as complete [GH-4053],cli/server: use filter flags; update UI_ListReleasesRequest,0
4350,internal/core: set the generation on the deployment operations,0.5886481,core: Auto run a status report after a deployment or release operation rather,ui: removed unused components and styling,0
4351,Multi-port service support for Kubernetes,0.6778009,plugin/k8: Setup Kubernetes services for different workspaces properly [GH-2399],Fix issue where you can't disable Project polling,0
4352,internal/server: GetLatestStatusReport supports a target,0.5322599,Status reports: server: Continuously generate a status report for an application after the initial,,0
4353,update pipeline aggregate info,0.6289798,an existing pipeline run either by the latest known run or a specific sequence id. [GH-4042],ui: address some ember-simple-auth type warnings,0
4354,Correcting docker for desktop reference,0.60189664,plugin/docker: Add new docker-ref plugin for a build noop for referencing a Docker Image [GH-3912],,0
4355,build(deps-dev): bump ember-toggle from 7.1.0 to 9.0.3 in /ui,0.49885595,ui: Update UI of builds and releases tab [GH-2852],,0
4356,website: intro,0.49379408,http. [GH-2970],,0
4357,Merge pull request #4432 from hashicorp/brk.docs/use-developer-relative-link,0.56997156,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
4358,variable formatter helper pkg; add logging,0.5479155,cli: Add option to waypoint logs command to get a specific deployment's logs [GH-3656],,0
4359,Merge pull request #975 from hashicorp/f-instance-types,0.47022107,did not properly implement a Registry component with AccessInfoFunc() [GH-2532],,0
4360,internal/server: log kubeprobe http requests at trace level,0.7905071,core: HTTP requests from Kubernetes probes are logged at a trace level rather than info [GH-2348],chore: bump react-subnav,1
4361,builtin/k8: report pods failing to start due to image issues,0.7253072,plugin/k8s: Report events on failed pods when a deployment fails [GH-2399],,1
4362,"internal/server: don't call DiscoveryInfo, makes a net call",0.49835807,cli/serverinstall/nomad: Add service discovery provider configuration,,0
4363,internal/builtin/google: deploy,0.5450715,plugin/google/cloudrun: Add VPC and Cloud SQL config options [GH-1123],,0
4364,Add gradient background to plugins media,0.5573722,"plugin/k8s: Introduce a new config option autoscale, which creates a horizontal",,0
4365,Merge pull request #96 from hashicorp/f-filter,0.48645347,builtin/aws/ami: require []string for aws-ami filters to avoid panic [GH-1010],cli: use %d to format int,0
4366,externalize service_ui_release,0.5049235,The release configuration can use artifact.* and deploy.* to access metadata.,,0
4367,builtin/docker: clean up step usage to avoid deadlock,0.53336453,plugin/docker: remove intermediate containers on build [GH-667],Feature: Nomad On-Demand Runner Support,0
4368,use filter flags for setting req,0.5625222,cli: Use values from filter flags when listing deployments and releases [GH-2672],website: Add docs for waypoint install command,0
4369,Update useInterval hook,0.48172903,"plugin/tfc: Fix HCL field, refresh_interval [GH-3524]",,0
4370,auto-updated internal/server/gen/bindata_ui.go from commit 78c927d2,0.5968765,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Fixes #2651,0
4371,WIP implementation of a Consul configsourcer plugin,0.6804653,plugin/consul: Consul key-value data config sourcer plugin [GH-4045],Fixes #2651,0
4372,Merge pull request #2815 from hashicorp/detect-project-flag-mismatch,0.5741565,cli: Enhance warning for project flag mismatches when project parsed from config [GH-2815],,0
4373,builtin/docker: support pushing with img,0.6595075,"Dockerless image builds: Waypoint can now build, tag, pull, and push",Fix broken docs link,0
4374,"Empty states for logs and exec, add exec input UI",0.50197506,entrypoint: Can disable waypoint exec only by setting the,Fix formatting directive in cli output,0
4375,Hide overflow in how it works section,0.4490242,ui: Fix header spacing on build/release detail pages [GH-3614],,0
4376,internal/server/state: test multiple apps on ProjectPut,0.57437855,server: Fix project poll job singleton id to only include application on project,,0
4377,fix: Ensure c.flagLocal is not nil prior to checking truthyness,0.5854622,cli/fmt: Add a -check flag that will determine if the waypoint.hcl is already,,0
4378,Merge pull request #2029 from hashicorp/bug/tests/check-against-proper-statusreport-id,0.5633812,ui: avoid loading all status reports [GH-2562],,0
4379,externalize deploy endpoint,0.55164504,server: Add UI_GetDeployment convenience endpoint [GH-3856],,0
4380,auto-updated internal/server/gen/bindata_ui.go from commit 7fa616e4,0.6175444,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
4381,"ui: 0.7 cleanup (fix dark mode styling, spacing on timeline comp, etc.) (#2893)",0.6114309,ui: Improve tab styles for dark mode [GH-2053],,0
4382,run docs generator (#245),0.5838238,core: Runner configuration can now write to files [GH-2201],,0
4383,initial use case draft,0.46689135,ui: Improve the design of the Project Settings forms [GH-1335],,0
4384,Update CHANGELOG for 0.7.2 release,0.65203714,"0.7.0 (January 13, 2022)",,0
4385,Merge pull request #822 from briancain/fix-dev-version,0.5191439,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
4386,internal/server/singleprocess: Add ability to eager load artifact and build of a deployment,0.5995372,"builtin/docker: Introduce resources map for configuring cpu, memory on deploy [GH-1116]",,0
4387,Start of commands to integration with horizon,0.4095103,core: Introduce RunTriggers to Waypoint Server and CLI. Triggers can be configured,,0
4388,ui/mirage: remove auto-login from default scenario,0.54795194,cli: Only show runner profile default deletion hint if more than 0 default,,0
4389,change 'documentation' jira label to 'engineering',0.5584929,ui: Improve the design of the Project Settings forms [GH-1335],,0
4390,auto-updated pkg/server/gen/bindata_ui.go from commit 6b9d6f1fc,0.623021,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],,0
4391,Merge pull request #3954 from hashicorp/b-oauth-fixes,0.5678674,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
4392,add log that stop task is not currently implemented,0.5503299,core: improve runner job stream error logging [GH-3872],,0
4393,Merge pull request #288 from hashicorp/f-ssh-break,0.4764673,server: fix issue cleaning up tasks in Kubernetes that completed successfully [GH-3299],,0
4394,internal/plugin: add helm,0.7335548,"plugin/helm: A new plugin ""helm"" can deploy using Helm charts. [GH-2336]",,1
4395,Include JobId as an index in Task record for easy lookups,0.64652026,core: waypoint job list will now retrieve paginated list of jobs to avoid,,0
4396,Allow some state tests to be skipped.,0.4266464,"representing its states as Ready, Alive, Partial, Down, or Unknown.",,0
4397,Remove explicit fathom-client dep,0.5910238,config: Remove the multi-app deprecation warning.,,0
4398,Updated SVGs to utilize Structure Icons component,0.5414068,ui: upgraded icons to flight icons library [GH-2681],,0
4399,internal/server/state: support physical state filtering,0.47787642,internal/server: Block on instance deployment becoming available [GH-881],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4400,sdk/terminal: first line is colored for error only,0.48507345,"cli/serverinstall/k8s: Fix a problem where deployments would be marked as ""Degraded"", but were actually fine. [GH-2412]",Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4401,auto-updated internal/server/gen/bindata_ui.go from commit 7c61b4c0,0.6053009,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4402,website/pages/docs/getting-starting/docker: Include note about PAT perms,0.43212208,plugin/docker: Output architecture from Docker builder [GH-3046],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4403,pkg/server: UpsertPipeline API,0.63878334,cli/serverinstall/k8s: Add new cluster role and binding to allow nodeport services to work [GH-2412],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4404,build(deps): bump ini from 1.3.5 to 1.3.8 in /ui,0.4951393,profiles are detected on upgrades. [GH-3688],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4405,api: Enable API via grpc-gateway on HTTP Server,0.7827617,server: Enable gRPC-Gateway on the http port of Waypoint server to add in an HTTP API for interfacing [GH-4379],Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,1
4406,envrc to use nix-shell if nix is installed,0.52196693,config: Specify configuration (env vars and files) for runners while executing,Co-authored-by: Rae Krantz 8461333+krantzinator@users.noreply.github.com,0
4407,internal/client: convert to jobstream package,0.69074,cli: Implement waypoint job get-stream to allow users to attach to running job,,0
4408,internal/serverclient: connections from env will send token if set,0.545527,config: Input variables (variable) can now use an env key to specify,Fixes https://github.com/hashicorp/waypoint/issues/2452,0
4409,internal/clicontext: don't assume require auth,0.43514872,plugin/aws-ecs: Error messages contain additional context [GH-2098],Co-authored-by: Izaak Lauer 8404559+izaaklauer@users.noreply.github.com,0
4410,pr feedback: Simplify if-statement,0.4123702,application when those values change. [GH-810],,0
4411,internal/server: lowercase the x-forwarded-proto header value,0.48404944,redirects to HTTPS unless X-Forwarded-Proto is https. [GH-2347],Use the platform name in the installation message,0
4412,"internal/ceb: update to use new config var, static only",0.5273738,core: configdynamic has been renamed to dynamic. The existing function,,0
4413,docs,0.5289905,DEPRECATIONS:,  install ember-simple-auth addon   start refactoring   use classic decorator   make it all work   hanlde session restore   handle session invalidation   update invite login method   Add session migration initializer   update types   Remove oidc authenticator for now   Update tests and test login helper   Add initializer comment   add authentication route and store attempted transition   move login helper to beforeEach hook ,0
4414,Build and Deploy animation (#11),0.52840644,plugin/docker: Add ability to build images with kaniko inside an ondemand runner [GH-2056],,0
4415,"Fix dependabot, was missing ""updates:""",0.70109916,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Better error message if no subnets are found.,1
4416,Appeasing the linters,0.45011264,DEPRECATIONS:,Addresses the problem found in this discuss post: https://discuss.hashicorp.com/t/waypoint-issue-with-alb-subnets/31056/2,0
4417,Merge pull request #3262 from hashicorp/bug/cli/waypoint-ui-context,0.5632175,core/api: include commit message in datasource/git response [GH-3457],,0
4418,Bump @hashicorp/design-system-components from 1.0.2 to 1.0.3 in /ui,0.5432018,"0.4.1 (July 1, 2021)",internal/core: log variable value source,0
4419,Merge pull request #4484 from hashicorp/br.devdot-readme-adjust,0.46094733,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
4420,just delete if no remote source,0.63422656,Use server uninstall to remove the Waypoint server and artifacts from the,,0
4421,internal/auth/oidc: package to help with shared OIDC logic,0.48433304,and can be configured to sign up and log in users using any OIDC provider,,0
4422,s/Kubernets/Kubernetes/,0.62512344,DEPRECATIONS:,Co-authored-by: Clint catsby@users.noreply.github.com,0
4423,update generated website,0.5590066,website: many minor improvements were made in our plugin documentation section for this release,,0
4424,ui: bump to latest version of ts/js clients,0.49075633,ui: Updated the deployments tab UI/UX [GH-2773],serverinstall/nomad: Automatically setup Consul service on install,0
4425,Merge pull request #1816 from hashicorp/circle-mdx,0.4320763,existing server image is hashicorp/waypoint:latest [GH-3820],,0
4426,Merge pull request #2502 from hashicorp/ui/mirage-data-source,0.4973708,core/api: include commit message in datasource/git response [GH-3457],"ui: 0.7 CSS changes, details page updates",0
4427,UI: Update caniuse-lite to 1.0.30001228,0.5367968,"0.3.0 (April 08, 2021)",Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
4428,"A bit more thinking and reading, and we're there",0.407296,"representing its states as Ready, Alive, Partial, Down, or Unknown.",Extract state package test suite,0
4429,Add better err msg for uninstall when server doesn't implement snapshots,0.529074,server: UpsertProject will not delete all application metadata [GH-1027],Update registry plugin to include info about remote runners,0
4430,Merge branch 'master' into f-auth,0.33825827,internal/config: Fix parsing of complex HCL types in -var-file [GH-2217],,0
4431,Merge pull request #1275 from hashicorp/ui-new-project-clear-values,0.48417062,core/api: include commit message in datasource/git response [GH-3457],Give a hint as to why the CLI is failing to connect to the server directly in the retry ui stepgroup,0
4432,internal/clicontext: fall back to plain files if symlinks don't work,0.7190443,cli: contexts will fall back to not using symlinks if symlinks aren't available [GH-633],,1
4433,change go version to go1.14.4,0.79499,* Update Go build version to 1.16.12 per Go security release,,1
4434,"Revert ""changelog""",0.5231473,BREAKING CHANGES:,,0
4435,internal/cli: init update flag,0.62885094,cli: Print warning and help docs if required flags for upgrade are not included [GH-1372],,0
4436,internal/server/proto: new endpoints,0.60703576,server: Add UI_GetDeployment convenience endpoint [GH-3856],,0
4437,Merge pull request #4601 from hashicorp/b-more-job-debugging,0.5484941,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],,0
4438,maint: remove stale website files,0.56053555,Use server uninstall to remove the Waypoint server and artifacts from the,,0
4439,Merge pull request #3563 from hashicorp/maint/makefile/make-arch-configurable,0.49664465,core: Fix crash that could occur when using templatefile with certain HCL files [GH-1679],,0
4440,Merge pull request #1973 from hashicorp/improvement/exec-disable,0.5175926,plugin/aws-ecs: Deployments delete their resources on failure. [GH-2098],,0
4441,auto-updated pkg/server/gen/bindata_ui.go from commit 9a424e049,0.61751056,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],,0
4442,Decouple status report from deployments and releases,0.70331204,ui: Add reporting on status of a deployment [GH-1559],,1
4443,Merge pull request #1184 from hashicorp/b-include-name-for-serviceport,0.537047,builtin/k8s/release: Include name field for service port release [GH-1184],,0
4444,ui: updated parameters for saveVariableSettings,0.5657772,ui: Prevent deletion of git/input variable settings when saving the other [GH-2057],"- rerun health check button works again - ""Currently unavailable"" only renders when there is nothing there - {{yield}} rows will render alongside rows hardcoded in the table comp",0
4445,format changelog,0.46096662,config: Add ability to write configuration values as files rather than environment variables. [GH-1395],This commit updates the Waypoint Nomad allocation to use a reserved port rather than dynamic. That means we can always know the port even if the allocation gets restarted for any reason.,0
4446,Adjust step to Step,0.51134324,IMPROVEMENTS:,"This commit updates the CLI install helper to always retry the server connection before moving on. This gives the CLI some wiggle room for the server to start up, along with any custom dns that might take a while to get responsive.",0
4447,cli: Add waypoint runner profile edit command,0.83126414,cli: Update waypoint runner profile inspect to show default runner profile,,1
4448,ui/resource: 'age' -> 'created',0.41016942,where a deployment updates an existing resource rather than creating something,,0
4449,Resources route (#2777),0.61901176,plugin/aws-alb: Use Route53 zone id when destroying a resource record [GH-3076],,0
4450,Fix failure case loop,0.46971154,internal: Fix deprecation warning being fatal [GH-3605],,0
4451,Merge pull request #4598 from hashicorp/b-instance-cleanup,0.55537033,server: fix issue cleaning up tasks in Kubernetes that completed successfully [GH-3299],,0
4452,gen/website-mdx,0.5341496,http. [GH-2970],"Prior to this commit, the consul service integration was an optional opt-in service that users could request when using the server install helper CLI with Nomad. This commit changes that by instead setting up the Consul service automatically, given how many Nomad workflows require Consul for any kind of networking.",0
4453,website: Clarify data-source and poll setup steps for CLI,0.64889514,cli: Fix issue where users could not disable project polling from the CLI [GH-2673],Update index.mdx,0
4454,internal/server/state: support Generation fields,0.5492472,internal/server: Block on instance deployment becoming available [GH-881],Fixed a typo.,0
4455,Referencing new workflow,0.6294292,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",,0
4456,Merge pull request #3506 from hashicorp/f-pipelines,0.5544266,  waypoint pipeline run. [GH-4319],,0
4457,state docs,0.42553002,DEPRECATIONS:,website: Add Fathom analytics,0
4458,Add flags to Nomad server upgrade command for the bootstrap runner.,0.7274997,upgrade: Nomad server upgrade upgrade now detects runners with the name,  woring on it   wip   tod   disable more things   wip   wip   wip   internal/server: finish   internal/server: compilation   internal/ceb: drop logs   internal/ceb: handle unimplemented ,1
4459,internal/server: convert server to use OIDC provider cache,0.57563925,and can be configured to sign up and log in users using any OIDC provider,docs: add note on permissions needed for k8s install,0
4460,Adjust threshold,0.49011803,DEPRECATIONS:,ui: improve mirage handler types,0
4461,Merge pull request #1836 from hashicorp/ui-enforce-protocol,0.46603057,ui: Fix crash when encountering resources without IDs [GH-3929],,0
4462,Merge pull request #3746 from hashicorp/i-label-runners,0.50995046,cli: runner list shows runner labels [GH-3133],,0
4463,Fix casing in readme,0.4570251,plugin/aws/ecs: Fix bug where certificate and other fields had to be set to empty string to use listener. [GH-1401],,0
4464,Merge pull request #3412 from hashicorp/amy/make-vercel-quieter,0.48353833,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
4465,internal/cli: note deprecation on run,0.5910814,cli: Fix issue where the CLI would exit with no error or action taken if a local,tests: Ensure app status poll interval is set when turned on,0
4466,internal/core: fix use call,0.5388437,cli/snapshot: Fix server snapshot when a config source is set. [GH-4523],,0
4467,Remove local auth,0.50435054,"cli: Deprecate -remote flag for operations, replace with -local flag [GH-2771]",- other css changes and layout changes to remove/rearrange components to match new designs,0
4468,internal/config: support scoping on all operations,0.5413651,config: Specify configuration that is scoped to deployments in certain workspaces,"This commit ensures the interval is set when enabling an app to start polling. Previously even though it had been set, passing in a ""new"" proto struct without the interval means it was set to the default",0
4469,internal/server/ptypes: validation for job structs,0.53287864,cli: Respect -remote-source overrides for submitted job template when running,add physical state filter and dry up code,0
4470,readme: beta update,0.48362878,"0.5.0 (August 12, 2021)",ui/tests: simplify config var rename test,0
4471,Fixing up import groupings,0.50939965,or label sets. This can be used to alter configurations between environments,,0
4472,"internal/core: Fix argmapper passing bug, need to pass an Any",0.46685365,plugin/nomad: Fix case where Nomad error would be ignored during a status check [GH-1723],,0
4473,"internal/core: begin work here, not functional yet",0.538174,core: Fix panic where on-demand runner config was nil before starting task [GH-3054],"This test was brittle (see CI output) for the following reasons:  All the fixture config vars have random names One of the fixture config vars was dynamic We don’t show the dropdown for dynamic config vars After renaming a config var, we attempt to click the dropdown for the    second item Depending on the number of times faker.hacker.noun has been called    before, the dynamic var could land in that spot Thus, no dropdown and a spuriously failing test  Phew! This patch removes the dynamic config var and the final dropdown click from the test, as neither are material to the behavior under test.",0
4474,internal/cli: release should not output schema,0.5911635,cli: Enhance warning for project flag mismatches when project parsed from config [GH-2815],ui/test: remove unneeded await settled(),0
4475,"Commit origins, add DOTgitignore",0.47276226,core/api: include commit message in datasource/git response [GH-3457],,0
4476,Tidy grammar and spelling in creating plugin guide,0.5424541,plugins/docker: Add support build context [GH-1490],ui/test: add api waiter,0
4477,Merge pull request #342 from hashicorp/f-log-limit,0.53081286,grpc data limits per request [GH-4271],Refactor flake and overlay,0
4478,server: Add more details with jobId,0.58859664,cli: Implement waypoint job get-stream to allow users to attach to running job,test: Add a test print log to help triage flakey test,0
